24,19,32,86,1072,2062
70,12,11,43,3400,3872
48,77,34,12,6510,1583
76,60,29,88,5506,6300
16,75,68,20,17148,13490
46,13,33,63,15572,9644
21,79,44,32,2433,5147
13,45,36,11,4612,19164
28,60,53,22,16217,18514
35,12,21,34,4631,17148
15,48,60,13,12755,355
86,21,11,64,4706,15186
53,17,44,81,4451,3294
13,43,94,86,2299,2881
74,19,24,76,7178,9259
28,67,39,13,10019,17169
30,11,44,61,7878,8640
97,44,16,60,9823,6460
30,96,94,53,3112,6737
17,51,40,22,7630,8490
60,29,13,48,7070,6922
25,83,62,13,11211,3085
77,11,20,24,7131,1801
12,44,68,22,8684,14092
59,16,16,62,19148,17858
14,67,74,44,3388,5359
15,44,60,17,10145,16182
41,26,18,39,16245,19737
78,18,72,99,8592,5031
37,11,40,79,15777,9199
22,53,50,12,14676,9212
54,81,38,14,1088,5435
15,55,53,22,7906,16259
28,69,58,18,11098,15851
23,61,51,15,5789,17117
55,13,39,76,10884,14021
16,64,41,15,8377,10591
51,78,77,19,9631,6236
18,39,53,20,9001,11458
52,70,32,13,19604,2193
68,22,25,67,2995,1001
47,69,39,18,4025,5595
19,95,25,20,1708,1925
93,31,59,88,9880,7735
22,82,50,26,5002,7258
23,12,17,54,797,8306
60,12,14,66,10262,8498
97,12,18,39,5116,780
57,12,23,70,14382,5998
55,17,12,43,10392,989
15,58,74,11,13688,9512
66,18,79,80,9011,7660
52,20,38,72,16614,10572
62,23,63,90,3542,1847
67,16,19,65,12129,12930
29,43,66,13,4534,2310
86,36,40,89,4066,7338
84,25,29,89,7772,3599
13,53,43,19,19353,16657
42,19,17,34,2814,3483
35,79,80,11,2875,5811
38,14,25,41,15533,13869
60,14,14,38,3774,2652
42,13,22,73,370,7555
94,30,36,59,11974,8335
48,13,17,53,17226,13807
36,94,53,20,1576,3168
13,41,62,13,5670,10213
49,23,16,75,3597,4253
67,32,26,54,9852,18406
64,19,18,64,17750,4281
91,23,14,33,4480,1751
46,14,12,26,1956,11264
59,15,61,64,3283,1756
18,66,38,17,3268,4765
12,89,31,35,761,3500
77,34,23,71,5262,5244
27,11,25,46,9480,900
53,96,82,28,6588,3496
91,91,12,53,7616,8764
18,62,90,73,7542,10099
98,43,30,52,6912,5130
33,94,96,28,6855,2590
80,14,18,79,18962,9367
25,39,94,44,1877,2107
94,57,32,99,7894,8289
23,51,60,32,10153,5421
72,16,26,31,974,393
43,57,74,28,6291,3643
52,26,13,95,2912,4996
51,21,21,40,11606,5563
17,47,39,20,1239,9144
66,48,35,97,2981,6103
44,78,56,27,4604,6138
78,17,28,62,5814,2441
50,12,28,67,11480,11750
65,42,38,94,3716,7054
62,12,19,72,7707,16700
13,31,62,38,6220,4624
56,16,30,94,2978,2474
94,34,28,98,5764,5424
62,11,22,79,14984,3092
99,23,59,56,9449,5917
19,42,64,29,8395,5312
12,31,37,18,10180,17381
29,57,51,12,1838,2289
55,22,27,80,4782,2328
85,39,32,66,6870,5718
59,23,36,98,6052,5466
62,24,18,39,10738,13433
52,21,15,55,12810,18835
21,81,55,13,10967,12335
26,54,58,20,17800,12084
48,22,38,59,2020,18720
38,60,89,16,6495,1912
13,38,43,17,3164,3814
19,79,99,97,2264,4694
55,30,17,48,13997,1718
52,17,12,67,13200,13640
22,39,49,15,19399,2297
19,45,60,31,19412,15586
19,37,78,37,3793,2331
80,85,16,73,5792,6546
43,12,39,85,4207,3694
46,82,46,15,9576,8815
12,23,34,15,1812,2655
54,20,24,67,4622,15596
67,17,14,38,9207,18557
45,13,25,46,18195,14322
34,86,77,15,9920,9632
46,22,34,61,13246,6391
69,25,22,70,10124,13980
22,97,41,13,4414,3020
13,81,43,43,1722,3082
73,17,35,79,2952,900
61,22,28,62,5420,9566
94,89,69,13,5199,1835
49,11,19,77,4403,6557
13,35,56,16,5234,3310
31,55,79,31,4261,4285
77,30,12,59,4151,15807
24,33,93,30,6117,2049
56,16,28,79,5996,8999
36,48,62,22,6140,2848
19,81,92,73,1937,4108
34,43,71,14,8182,2920
88,17,23,76,8572,4232
43,14,48,62,3715,3760
64,31,15,28,4831,3356
20,78,59,16,18135,18436
34,82,67,50,7082,10608
27,52,35,16,13420,14496
63,16,17,45,11797,7522
59,32,22,42,2576,2630
72,19,11,65,11493,12456
28,50,44,17,3376,4243
12,26,40,15,6240,8820
95,90,24,92,3109,8902
54,85,29,13,5304,8153
89,30,37,63,4498,3891
64,26,28,65,12672,15304
59,13,30,68,2106,11186
67,38,15,54,2451,2118
90,64,38,85,8508,9007
15,49,79,66,4691,6873
69,36,30,70,8784,8496
50,27,24,54,13606,12005
93,20,60,82,9540,6612
16,37,44,25,11072,4649
15,72,67,64,5435,9344
82,20,58,85,7080,4065
46,16,25,30,2728,2568
44,21,16,25,9076,7755
18,73,65,52,3257,2840
96,88,88,19,8304,3542
43,66,82,34,4003,2286
38,49,56,20,4954,4143
78,13,13,76,5528,13048
59,17,20,59,1181,5537
47,16,21,52,17705,1120
53,80,32,12,12796,12368
99,49,49,96,8502,5930
44,11,42,75,4310,1307
34,41,35,11,2088,1020
66,34,16,55,7012,10115
95,23,31,59,5358,3254
99,60,25,84,7177,11028
50,54,66,14,10886,6258
81,71,19,56,6295,8154
42,90,87,11,4329,4189
12,35,91,41,9190,5709
19,63,63,13,13162,5892
94,22,57,67,5085,1995
33,57,54,23,4505,10885
44,94,97,41,5347,6935
85,32,31,69,4575,2009
25,47,47,11,19108,11486
52,20,36,63,7292,7081
16,60,37,12,1666,776
87,55,12,65,1536,1660
78,17,12,46,9200,5592
70,33,51,91,7679,6901
26,50,41,12,12582,12894
64,61,16,95,6640,13586
31,70,58,13,13263,9321
19,34,39,14,5655,13370
12,98,22,20,1958,5612
27,77,57,11,17351,13817
15,40,80,56,11650,360
15,65,43,15,4148,12300
67,20,14,39,13161,11201
49,87,87,30,6930,5334
45,23,30,47,11225,10035
88,93,13,60,5964,6858
26,16,18,49,15688,1078
18,62,32,13,9468,7487
58,23,22,41,17842,4467
64,30,13,54,7290,19154
48,15,20,67,4212,3574
34,72,61,20,18848,9472
13,67,68,21,3277,5697
71,19,23,69,15376,14536
28,95,99,81,2060,2911
63,67,99,18,9783,5778
67,31,14,40,7952,15880
76,21,11,58,13336,18613
41,13,44,71,11068,15033
52,12,11,71,14703,12923
15,62,63,21,7070,17662
54,22,28,59,4372,1446
39,16,36,54,15797,3828
69,28,15,51,17381,14738
62,87,76,12,4348,5628
69,26,37,55,2549,2028
13,62,71,24,8269,18356
43,15,28,65,1909,13695
98,20,91,82,11683,7522
15,52,40,11,9010,9870
59,85,68,28,2809,3767
47,12,19,84,4558,4488
33,82,55,14,17392,15744
72,11,80,81,4136,1526
44,70,43,19,10317,6549
20,56,37,14,4504,4624
83,52,13,37,6478,4477
16,64,74,54,4768,5520
33,16,28,48,17063,736
58,12,37,84,9214,16484
66,26,18,55,8768,16881
87,21,68,80,4422,3738
77,18,12,58,7308,5572
12,56,80,38,6432,3860
53,11,15,53,10981,19595
46,29,17,35,7679,8850
24,81,64,13,17472,10578
88,69,13,42,1742,2829
32,69,91,29,6884,7486
54,35,21,47,12746,7205
39,29,20,67,3081,6357
34,64,49,12,2492,6360
73,39,11,45,14329,19055
16,40,63,29,17398,1826
17,38,62,38,12659,3236
21,47,70,40,1421,2247
78,20,23,68,8360,7236
28,61,91,64,3717,4473
72,83,57,14,2736,1913
24,54,50,23,3560,248
61,12,21,60,11872,2000
85,53,30,62,1310,1726
42,97,99,59,9915,8140
23,50,50,13,13729,7516
13,27,95,29,8284,3404
88,33,42,75,6990,8013
